order_id,order_item_id,courier_code,over_ride
171-3984818-4542701,50223045547962,AJEXUAE,
171-4046299-8332305,50223616979602,AJEXUAE,
402-3972878-7949128,50223408358282,AJEXUAE,
171-1360545-2835564,50224428235482,AJEXUAE,
403-1144713-5531509,50222102781922,AJEXUAE,
402-6548281-4936302,50224137541802,AJEXUAE,
407-6974024-6913112,50224432018682,AJEXUAE,
171-5057554-0806732,50222910834482,AJEXUAE,
171-9277454-5601913,50222217174962,AJEXUAE,
408-9050800-8625166,50222188034282,AJEXUAE,
404-8510445-7393108,50224386546722,AJEXUAE,
403-5865283-6310745,50222021085442,AJEXUAE,
171-8209587-5259561,50221184184922,AJEXUAE,
407-4347389-4573935,50225250508922,AJEXUAE,
407-0149856-4446747,50134441917962,AJEXUAE,
408-2508205-2637168,50224574129522,AJEXUAE,
406-3761384-2956331,50222014247362,AJEXUAE,
405-4766048-6154732,50222179372482,AJEXUAE,
171-1246491-1189116,50219262433002,AJEXUAE,
405-0506548-4556310,50222106613802,AJEXUAE,
408-6101131-8279553,50222359720962,AJEXUAE,
408-1232024-0408304,50222970399842,AJEXUAE,
408-3781512-5900312,50222886313842,AJEXUAE,
402-9142985-2139568,50220970276682,AJEXUAE,
405-9543520-5452347,50216191305002,AJEXUAE,
408-7500255-3071551,50218423961682,AJEXUAE,
408-5122802-3883552,50209924688642,AJEXUAE,
407-2209938-1021956,50218395026842,AJEXUAE,
171-0530074-2397927,50219836793882,AJEXUAE,
404-0049036-8814733,50216308641482,AJEXUAE,
403-8402031-5819504,50212230511122,AJEXUAE,
404-1661454-1897943,50210074649682,AJEXUAE,
407-6616163-3708302,50215106521522,AJEXUAE,
407-7996260-2349969,50213275819282,AJEXUAE,
402-1668125-1345129,50214695794642,AJEXUAE,
404-2026017-7908323,50210925882282,AJEXUAE,
403-4903260-8747537,50217128958002,AJEXUAE,
403-5577080-5715562,50216406323962,AJEXUAE,
403-5340908-2078736,50212617011322,AJEXUAE,
407-8006209-9242736,50211975269002,AJEXUAE,
404-5448218-7137111,50216852358002,AJEXUAE,
403-6241210-6542757,50212601698962,AJEXUAE,
407-9104967-7092368,50210020606962,AJEXUAE,
171-0378766-9578703,50216144289522,AJEXUAE,
407-3394952-4981146,50218766481442,AJEXUAE,
406-8335066-6501113,50212873492522,AJEXUAE,
404-9020164-2801111,50220253352802,AJEXUAE,
405-4395860-0686723,50216389839522,AJEXUAE,
171-6723829-7534717,50211628094642,AJEXUAE,
171-6928865-5548337,50217107593482,AJEXUAE,
408-6786111-2065159,50221637293122,AMXUAE,
402-8506728-7453909,50221972616122,AMXUAE,
407-7300034-3709919,50224415749962,AMXUAE,
171-8739975-2905962,50159693139922,AMXUAE,
405-7325196-4571566,50220669602362,AMXUAE,
404-0433442-7929106,50213456257042,AMXUAE,
171-5389418-7674707,50216362458402,AMXUAE,
402-4581543-6237950,50212871320202,AMXUAE,
406-4590936-3522727,50209019106682,AMXUAE,
